"","state stability","topic 2","topic 3","social welfare","topic 5","topic 6","topic 7","topic 8","diplomacy","topic 10","files"
"28",0.130653266331658,0.300390843104411,0.0843104410943607,0.029034059184813,0.241764377442769,0.0681183696259073,0.0134003350083752,0.073143495254048,0.0145170295924065,0.0446677833612507,"William McKinley"
"29",0.142857142857143,0.158406219630709,0.0631681243926142,0.0398445092322643,0.240038872691934,0.0660835762876579,0.043731778425656,0.10689990281827,0.0874635568513119,0.0515063168124393,"William McKinley- II"
"30",0.118421052631579,0.0350877192982456,0.0899122807017544,0.109649122807018,0.0899122807017544,0.142543859649123,0.0548245614035088,0.0307017543859649,0.177631578947368,0.151315789473684,"Theodore Roosevelt"
"31",0.0403752039151713,0.503670473083197,0.0730016313213703,0.0261011419249592,0.202691680261011,0.0469004893964111,0.0106035889070147,0.0460848287112561,0.0114192495921697,0.0391517128874388,"William Howard Taft"
"32",0.0238993710691824,0.0666666666666667,0.0465408805031447,0.0666666666666667,0.040251572327044,0.135849056603774,0.0691823899371069,0.0163522012578616,0.0528301886792453,0.481761006289308,"Woodrow Wilson"
"33",0.0847201210287443,0.0468986384266263,0.104387291981846,0.0832072617246596,0.0832072617246596,0.157337367624811,0.0635400907715582,0.0302571860816944,0.0998487140695915,0.246596066565809,"Woodrow Wilson- II"
"34",0.0933250927070457,0.0982694684796045,0.0216316440049444,0.0587144622991347,0.0432632880098888,0.331891223733004,0.0957972805933251,0.0315203955500618,0.103213844252163,0.122373300370828,"Warren G. Harding"
"35",0.0456081081081081,0.125,0.0484234234234234,0.0416666666666667,0.283783783783784,0.211711711711712,0.0191441441441441,0.0365990990990991,0.0951576576576577,0.0929054054054054,"Calvin Coolidge"
"36",0.066129959746981,0.182863714778608,0.0523289246693502,0.0287521564117309,0.117308798159862,0.348476135710178,0.0115008625646924,0.0557791834387579,0.0701552616446234,0.0667050028752156,"Herbert Hoover"
"37",0.0611111111111111,0.125555555555556,0.0255555555555556,0.14,0.107777777777778,0.18,0.0522222222222222,0.0233333333333333,0.0533333333333333,0.231111111111111,"Franklin D. Roosevelt"
"38",0.0489749430523918,0.0580865603644647,0.0421412300683371,0.137813211845103,0.05125284738041,0.223234624145786,0.0398633257403189,0.0398633257403189,0.0501138952164009,0.308656036446469,"Franklin D. Roosevelt- II"
"39",0.0432692307692308,0.0240384615384615,0.0288461538461538,0.120192307692308,0.0448717948717949,0.0448717948717949,0.0737179487179487,0.0416666666666667,0.267628205128205,0.310897435897436,"Franklin D. Roosevelt- III"
"40",0.039568345323741,0.039568345323741,0.0503597122302158,0.266187050359712,0.0683453237410072,0.0575539568345324,0.0827338129496403,0.0431654676258993,0.201438848920863,0.151079136690647,"Franklin D. Roosevelt- IV"
"41",0.039568345323741,0.0278776978417266,0.0413669064748201,0.0809352517985611,0.114208633093525,0.272482014388489,0.0116906474820144,0.0341726618705036,0.314748201438849,0.0629496402877698,"Harry S. Truman"
"42",0.0516074450084602,0.0541455160744501,0.0397631133671743,0.123519458544839,0.0592216582064298,0.137055837563452,0.0736040609137056,0.0355329949238579,0.346869712351946,0.0786802030456853,"Dwight D. Eisenhower"
"43",0.0216010165184244,0.0228716645489199,0.0355781448538755,0.141041931385006,0.0660736975857687,0.0571791613722999,0.10292249047014,0.0292249047013977,0.415501905972046,0.108005082592122,"Dwight D. Eisenhower- II"
"44",0.0201149425287356,0.0359195402298851,0.0474137931034483,0.285919540229885,0.0502873563218391,0.0416666666666667,0.16235632183908,0.0172413793103448,0.277298850574713,0.0617816091954023,"John F. Kennedy"
"45",0.0506706408345753,0.00894187779433681,0.0327868852459016,0.284649776453055,0.0253353204172876,0.0119225037257824,0.0909090909090909,0.0357675111773472,0.269746646795827,0.189269746646796,"Lyndon B. Johnson"
"46",0.0131979695431472,0.017258883248731,0.0192893401015228,0.404060913705584,0.0253807106598985,0.0324873096446701,0.0284263959390863,0.0152284263959391,0.306598984771574,0.138071065989848,"Richard Nixon"
"47",0.0180722891566265,0.0313253012048193,0.0385542168674699,0.513253012048193,0.0602409638554217,0.0493975903614458,0.0421686746987952,0.0253012048192771,0.178313253012048,0.0433734939759036,"Richard Nixon- II"
"48",0.0576271186440678,0.0559322033898305,0.0271186440677966,0.289830508474576,0.0525423728813559,0.0338983050847458,0.0983050847457627,0.0338983050847458,0.210169491525424,0.140677966101695,"Jimmy Carter"
"49",0.0201465201465201,0.032967032967033,0.0448717948717949,0.393772893772894,0.0750915750915751,0.0924908424908425,0.0521978021978022,0.0256410256410256,0.191391941391941,0.0714285714285714,"Ronald Reagan"
"50",0.0285714285714286,0.0375510204081633,0.0138775510204082,0.44734693877551,0.0253061224489796,0.0808163265306122,0.0375510204081633,0.0391836734693878,0.230204081632653,0.0595918367346939,"Ronald Reagan- II"
"51",0.0216981132075472,0.0179245283018868,0.0264150943396226,0.397169811320755,0.0386792452830189,0.0330188679245283,0.0377358490566038,0.0377358490566038,0.162264150943396,0.227358490566038,"George Bush"
"52",0.0167310167310167,0.0373230373230373,0.0205920205920206,0.536679536679537,0.0334620334620335,0.027027027027027,0.124839124839125,0.0167310167310167,0.11969111969112,0.0669240669240669,"William J. Clinton"
"53",0.0103286384976526,0.0338028169014084,0.0309859154929577,0.548356807511737,0.0206572769953052,0.0338028169014084,0.063849765258216,0.0291079812206573,0.117370892018779,0.111737089201878,"William J. Clinton- II"
"54",0.0469543147208122,0.0380710659898477,0.0406091370558376,0.41497461928934,0.0469543147208122,0.0291878172588832,0.0989847715736041,0.0177664974619289,0.16497461928934,0.101522842639594,"George W. Bush"
"55",0.0454985479186834,0.0387221684414327,0.031945788964182,0.250726040658277,0.0271055179090029,0.0600193610842207,0.0706679574056147,0.0551790900290416,0.304937076476283,0.115198451113262,"George W. Bush- II"
"56",0.0524475524475524,0.0236013986013986,0.0262237762237762,0.361888111888112,0.0218531468531469,0.0332167832167832,0.147727272727273,0.0113636363636364,0.158216783216783,0.163461538461538,"Barack Obama"
"57",0.0343434343434343,0.0242424242424242,0.0404040404040404,0.363636363636364,0.0333333333333333,0.0383838383838384,0.133333333333333,0.0424242424242424,0.209090909090909,0.0808080808080808,"Barack Obama- II"
"58",0.0325318246110325,0.0523338048090523,0.0297029702970297,0.510608203677511,0.0311173974540311,0.0367751060820368,0.0480905233380481,0.0226308345120226,0.0707213578500707,0.165487977369165,"Donald J. Trump"
